CaseID,CaseNumber,CaseTypeId,CaseType,CaseWorkclassId,CaseWorkclass,CaseStatusId,CaseStatus,DateApplied,Address,Description
8D5AF4AA-8A66-47B9-81B0-033701755321,2015-2861,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T16:04:00Z,409 TULA TRL LEANDER TX 78641,Install Sprinkler System
C705ADF1-D2B2-4640-9EDC-465C79E2D4B0,2015-2862,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T16:08:00Z,320 TULA TRL LEANDER TX 78641,Install Sprinkler System
0383EB23-1F2F-456E-B30F-DECC7F63FFD9,2015-2863,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T16:11:00Z,400 TULA TRL LEANDER TX 78641,Install Sprinkler System
21D139FA-9610-47C0-9BB2-4CE3D45DD614,2015-2864,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T16:15:00Z,404 TULA TRL LEANDER TX 78641,Install Sprinkler System
8706F6C8-3654-48B6-9C29-1D38F3C386C2,2015-2865,ec249354-a23a-8181-184e-32083ff80181,BLD - Commercial - Remodel,395cc6c8-6f96-023b-2a67-a3b363c5d3e2,Remodel,b2cd9836-2368-412d-b584-40dfd4fe28c0,Void,2015-04-02T16:17:00Z,705 Leander Drive Leander TX 78641,Evidence expansion into adjacent room
22E5934A-784D-438A-BD4B-AB2D63957A1B,2015-2866,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T16:25:00Z,2209 CHAMPIONS CORNER DR LEANDER TX 78641,sprinkler system
7504DE22-EA7F-47A4-92A6-2077F6A1AEB8,2015-2868,24e41058-5bd6-df47-0e0b-c4f38a4ceb5d,Pool  - Residential Pool/Spa,78bc4aac-c830-60b4-b853-a01c6e906654,Residential Pool/Spa,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T17:31:00Z,3506 LAJITAS LEANDER TX 78641,"inground pool, spa & stone deck"
9DC9E818-38C5-428B-9D6A-6BA052723853,2015-2871,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Single Family New Construction,aa188010-545d-20cd-0750-74d569acaf16,Single Family New Construction,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T21:41:00Z,3801 JULIAN LN LEANDER TX 78641,New House
5312D072-98E2-4990-B126-6C67175006EE,2015-2872,24e41058-5bd6-df47-0e0b-c4f38a4ceb5d,Pool  - Residential Pool/Spa,78bc4aac-c830-60b4-b853-a01c6e906654,Residential Pool/Spa,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T21:44:00Z,3504 HIGH HORSE LEANDER TX 78641,In-Ground gunite pool and spa
C4525F8D-3651-41AB-92D1-46EB23E73A9A,2015-2873,f5ad2e5e-ac67-f15e-16f8-a41c887076dd,BLD - Residential - Irrigation,bf9887ee-f7e0-af6a-4020-c7bbbbb46871,Irrigation,a99088bd-b9ae-4f5e-b7cd-995dcfb12ac3,Complete,2015-04-02T21:47:00Z,1117 SIDEWINDER LEANDER TX 78641,Landscape/Irrigation
